ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
27,Lindal Yarbrough,9,,0.4,0.7,0.667,0.4,0.7,0.667,0,0,,0.1,0.2,0.5,0.4,0.2,0.1,0,0.1,,1
28,Milik Yarbrough,59,21.6,3.4,7.8,0.44,3.1,6.7,0.464,0.3,1.1,0.299,1.8,3,0.581,4.7,1.4,0.5,0.3,2,1.8,9
29,Victor Yarbrough,14,,0.2,0.5,0.429,0.2,0.5,0.429,0,0,,0,0.1,0,0.7,0.1,0.1,0.1,,,0.4
30,Vincent Yarbrough,127,30.4,4.8,11,0.44,3.4,6.8,0.5,1.4,4.1,0.34,2.6,3.8,0.687,6.8,2.3,1.7,1,,,13.7
31,Chris Yard,14,,5.2,10.1,0.518,5.1,10,0.514,0.1,0.1,1,1.8,2.9,0.61,5.9,0.6,1.1,0,,,12.3
32,Denzel Yard,8,5.4,0.6,1.5,0.417,0.4,0.9,0.429,0.3,0.6,0.4,0.4,0.5,0.75,1,0.3,0.4,0,1,0.5,1.9
33,George Yardley,71,,4.4,,,,,,,,,2.8,4,0.698,,,,,,,11.5
34,Mouphtaou Yarou,120,24.6,3.2,6.5,0.49,3.2,6.5,0.49,0,0,0.5,2.5,3.5,0.71,7,0.6,0.5,0.8,1.4,2.4,8.9
35,Abe Yasser,97,,1,2.5,0.393,0.8,1.6,0.487,0.2,0.8,0.21,0.4,0.9,0.465,2.1,1.7,1,0.1,,,2.5
36,Andre Yates,90,18.9,2,5.5,0.373,1.4,3.3,0.419,0.6,2.1,0.301,0.8,1.3,0.612,1.5,1.2,0.9,0.1,1.2,2.2,5.5
37,Chad Yates,56,,1.6,3.8,0.414,1.6,3.8,0.414,0,0,,1.2,2.1,0.576,3.4,0.6,0.6,0.5,,,4.4
38,Darren Yates,40,,1.2,3.7,0.313,0.4,1.5,0.276,0.8,2.2,0.337,0.4,0.7,0.615,1.5,1,0.3,0.1,,,3.5
39,Desmond Yates,122,28.5,5.9,10.6,0.553,5.1,8.8,0.583,0.7,1.8,0.407,2.1,2.7,0.784,4.1,0.5,0.5,0.4,1.5,0.7,14.5
40,Jeremy Yates,27,,0.4,1.2,0.333,0.4,1,0.407,0,0.2,0,0,0.1,0.25,0.6,0.4,0.1,0,0.6,,0.9
41,Noah Yates,1,2,0,0,,0,0,,0,0,,0,0,,1,0,0,0,0,0,0
42,Phillip Yates,1,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,,,0
43,Robbie Yates,24,,0.6,1.9,0.333,0.6,1.3,0.438,0,0.5,0.077,0.2,0.6,0.357,0.9,0.6,0.3,0,,,1.5
44,Ron Yates,48,,4,8.7,0.458,3.6,7.4,0.483,0.4,1.4,0.323,3.5,5.5,0.641,6.2,1.8,1.4,0.4,,,11.9
45,Ron Yates,56,,1.9,4.7,0.402,1.6,3.7,0.434,0.3,1,0.286,1.2,2,0.609,2.4,1.4,0.7,0.1,,,5.2
46,Sebastian Yates,5,,0.4,1.2,0.333,0.2,0.8,0.25,0.2,0.4,0.5,0.4,0.4,1,0.4,0,0.2,0.2,,,1.4
47,Melih Yavsaner,55,,2,4.5,0.437,1.9,4.4,0.442,0,0.1,0.2,1.2,1.8,0.68,4.1,0.9,0.5,0.9,,,5.1
48,A.J. Yawn,12,2.3,0,1.1,0,0,0.8,0,0,0.3,0,0.2,0.8,0.2,0.3,0.1,0.1,0,0.1,0.1,0.2
49,Kody Yazzie,88,,2.5,5.9,0.421,1.5,3.3,0.451,1,2.5,0.383,1.4,1.9,0.746,3.3,1.9,0.7,0.2,,,7.3
50,Lamoni Yazzie,72,,2.4,5.8,0.424,0.9,1.7,0.529,1.6,4.1,0.382,2.2,2.6,0.87,1.9,1.5,1.1,0.2,,,8.7
51,Lawrence Yazzie,73,,1.4,4,0.36,0.4,1.1,0.385,1,2.9,0.35,0.5,0.7,0.736,0.9,0.5,0.3,0,,,4.4
52,Brooks Ybarra,9,,0.2,1.2,0.182,0.2,0.4,0.5,0,0.8,0,0.2,0.6,0.4,0.3,0.2,0.1,0,0.3,,0.7
53,Brooks Ybarra,55,17.6,2.7,5.5,0.485,1.2,2.3,0.536,1.5,3.2,0.449,1.3,1.6,0.793,2.5,0.9,0.8,0.4,0.9,1.6,8.1
54,Caesar Yeadon,25,,1.5,4.3,0.352,1.5,4.2,0.352,0,0.1,0.333,1.1,1.9,0.563,2.8,0.4,0.4,0.1,,,4.2
55,Eric Yeadon,26,,1.3,3.2,0.405,1.3,3.2,0.405,0,0,,0.7,1.7,0.432,2.9,0.3,0.2,0.3,,,3.3
56,Josh Yeager,108,,2.3,4.8,0.483,1.6,2.5,0.615,0.7,2.2,0.332,0.4,0.7,0.658,2.5,1.3,0.4,0.3,,,5.8
57,Sammy Yeager,41,28.3,5,10.9,0.453,2.9,5.8,0.494,2.1,5.1,0.407,1.3,1.8,0.707,4.3,2,0.9,0.4,1.9,2.5,13.3
58,Steve Yeagle,87,,0.6,1.9,0.329,0.2,0.7,0.35,0.4,1.2,0.317,0.4,0.5,0.837,1.1,0.5,0.6,0.1,,,2
59,Deilvez Yearby,85,25.7,3.1,7,0.449,3,6.5,0.455,0.2,0.4,0.361,2,3.3,0.611,5.5,0.6,0.4,1.6,2.4,0.9,8.4
60,Solomon Yearby,48,,1.3,3.6,0.368,0.9,2.2,0.425,0.4,1.4,0.277,0.5,0.8,0.641,1.7,0.9,0.4,0.1,,,3.5
61,Justin Yeargin,4,1.8,0.3,0.8,0.333,0.3,0.8,0.333,0,0,,0,0,,0.5,0.5,0,0,0,0,0.5
62,Maurice Yearwood,103,,2.6,6.6,0.385,1.3,3.1,0.435,1.2,3.6,0.341,1.6,2.2,0.738,2.7,2.2,1.1,0.1,,,7.9
63,Mark Yeaton,9,,2,6.6,0.305,0.9,2.3,0.381,1.1,4.2,0.263,0.4,0.8,0.571,1.9,0.8,0.9,0.1,,,5.6
64,Jon Yeazel,28,,1,2.1,0.458,0.9,1.6,0.556,0.1,0.5,0.143,0.3,0.5,0.6,1.2,0.4,0.2,0.1,,,2.3
65,Akwasi Yeboah,8,23.1,3.1,10.1,0.309,1.5,5.1,0.293,1.6,5,0.325,1.8,2.6,0.667,4.9,0.6,0.3,0.5,0.9,2.5,9.6
66,Kaijae Yee-Stephens,4,8.3,0.5,2,0.25,0.3,0.5,0.5,0.3,1.5,0.167,0,0,,0.3,0,0.3,0,0,1.3,1.3
67,Will Yeguete,127,18.5,1.5,3,0.493,1.4,2.8,0.514,0,0.2,0.2,1,1.9,0.555,4.9,0.9,0.9,0.2,1,1.8,4.1
68,Clayton Yeko,2,,0,0.5,0,0,0.5,0,0,0,,0,0,,0,0,0,0,,,0
69,Cody Yelder,26,,3.1,6.2,0.497,2.7,5.2,0.526,0.3,1,0.346,1.8,2.2,0.842,2.3,1.7,0.7,0,3.2,,8.3
70,Malcolm Yelling,20,,1,2.4,0.396,1,2.4,0.396,0,0,,0.5,0.8,0.6,2.9,0.5,0.2,0.7,,,2.4
71,Mark Yelovich,102,29.1,5.2,11.7,0.441,4.1,8.8,0.467,1,2.9,0.363,3,4.1,0.73,5.7,1.3,1.1,0.6,1.9,1.6,14.4
72,Mick Yelovich,98,,0.9,2.2,0.399,0.8,2,0.401,0.1,0.2,0.381,0.4,0.6,0.603,1.6,0.3,0.2,0.3,0.2,,2.2
73,David Yelverton,25,,1,3.6,0.275,0.6,1.9,0.313,0.4,1.7,0.233,0.8,1,0.792,2,0.7,0.4,0.1,,,3.2
74,Clay Yeo,28,12.9,1.5,3.4,0.447,0.8,1.8,0.44,0.7,1.6,0.455,0.4,0.6,0.706,1.4,1,0.3,0.1,0.9,1.4,4.1
75,Greg Yeomans,17,,0,0.3,0,0,0.2,0,0,0.1,0,0,0,,0.1,0.1,0,0,,,0
76,Bassith Yessoufou,59,,2.1,4.2,0.5,2.1,4.2,0.5,0,0,,1.6,2.6,0.636,4.4,0.2,0.7,0.2,1.4,,5.8
77,Chris Yetman,25,,1.6,3.6,0.456,0.6,1,0.625,1,2.6,0.394,0.4,0.6,0.786,1.6,0.6,0.9,0,,,4.8
78,Christian Yeung,2,,0,1,0,0,0.5,0,0,0.5,0,0,0,,0.5,0,0,0,,,0
79,John Yi,6,1.8,0,0.5,0,0,0.2,0,0,0.3,0,0,0.2,0,0,0.3,0,0,0.5,0.2,0
80,Longi Yiljep,33,9.3,0.5,1.2,0.366,0.3,0.8,0.44,0.1,0.5,0.25,0.3,0.6,0.55,0.9,0.3,0.2,0.4,0.6,1.2,1.4
81,Yilret Yiljep,13,11.3,1,2,0.5,1,2,0.5,0,0,,0.5,0.9,0.583,2.1,1.2,0.1,0.2,1.5,2.3,2.5
82,Mike Yocum,11,,0.2,0.4,0.5,0.2,0.4,0.5,0,0,,0.2,0.2,1,0.8,0,0,0,,,0.5
83,Jason Yoder,41,,1.6,3.7,0.441,1.2,2.8,0.447,0.4,0.9,0.421,0.6,1.1,0.543,2.9,0.6,0.2,0.1,,,4.3
84,Jeff Yoder,46,,1.4,3.6,0.382,1.3,3.5,0.39,0,0.1,0.167,0.7,1,0.625,2.9,0.7,0.3,0.3,,,3.4
85,Rusty Yoder,34,,3.2,8.2,0.387,1.9,4.9,0.377,1.3,3.3,0.402,3,3.6,0.836,2,3.1,0.9,0.1,,,10.7
86,Ryan Yoder,28,,3.6,8,0.455,1.7,3.3,0.505,2,4.7,0.42,3.8,4.2,0.915,2.5,6.7,1.4,0,,,13.1
87,JT Yoho,119,23.9,3.6,8.2,0.438,2.3,4.7,0.48,1.3,3.5,0.381,1.4,1.9,0.73,3.8,1.5,0.4,0.1,1.6,2,9.8
