ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
571,Zarko Cabarkapa,11-Jun,235lb,150,4,10.3,1.6,3.7,0.427,0.2,0.6,0.273,1.4,3.1,0.457,0.449,1,1.3,0.733,0.7,1.4,2.1,0.6,0.2,0.2,0.8,1.5,4.3
572,Barney Cable,7-Jun,175lb,362,,18.8,2.8,6.7,0.42,,,,2.8,6.7,0.42,0.42,1,1.4,0.665,,,5.2,1.1,,,,2.4,6.6
573,Bruno Caboclo,9-Jun,218lb,17,1,4.5,0.4,1.6,0.222,0.2,0.7,0.333,0.1,0.9,0.133,0.296,0,0,,0.2,0.3,0.5,0.2,0.2,0.1,0.6,0.4,0.9
574,Jason Caffey,8-Jun,255lb,462,170,19.6,2.8,5.7,0.481,0,0,0,2.8,5.7,0.483,0.481,1.8,2.8,0.637,1.8,2.6,4.4,0.9,0.5,0.2,1.4,2.5,7.3
575,Michael Cage,9-Jun,224lb,1140,733,26.1,2.9,5.7,0.515,0,0,0,2.9,5.6,0.517,0.515,1.4,2.2,0.664,2.8,4.8,7.6,0.9,0.9,0.6,1,2.3,7.3
576,Gerry Calabrese,1-Jun,175lb,104,,16.2,1.7,4.9,0.348,,,,1.7,4.9,0.348,0.348,1.3,1.8,0.702,,,1.4,1.4,,,,1.8,4.7
577,Nick Calathes,6-Jun,213lb,129,7,15.6,1.9,4.3,0.441,0.2,0.8,0.288,1.7,3.5,0.476,0.468,0.5,0.9,0.581,0.3,1.6,1.9,2.7,1,0.1,1.3,1.7,4.6
578,Jose Calderon,3-Jun,200lb,762,555,28.5,3.8,7.9,0.474,1.1,2.7,0.412,2.7,5.2,0.506,0.544,1.2,1.3,0.875,0.4,2.2,2.6,6.4,0.9,0.1,1.6,1.7,9.8
579,Adrian Caldwell,8-Jun,265lb,197,1,8.1,0.8,1.7,0.485,0,0,0,0.8,1.7,0.49,0.485,0.3,0.7,0.453,0.9,1.6,2.5,0.2,0.3,0.2,0.6,1.4,2
580,Jim Caldwell,10-Jun,240lb,137,,22.5,2.8,6.7,0.425,0,0.1,0.133,2.8,6.6,0.43,0.426,1.4,2.2,0.631,2,4.5,7.7,2,,,1.6,3.3,7.1
581,Joe Caldwell,5-Jun,195lb,782,,32.3,6.8,14.5,0.466,0.1,0.3,0.225,6.7,14.4,0.468,0.467,2.6,4.5,0.572,2.5,3.1,5.3,3.4,2.1,0.4,3.1,3,16.1
582,Kentavious Caldwell-Pope,5-Jun,205lb,262,223,29.6,4.2,10.3,0.409,1.4,4.3,0.332,2.8,6,0.463,0.478,1.5,1.9,0.771,0.7,2.3,3,1.4,1.2,0.2,1,2,11.3
583,Bill Calhoun,3-Jun,180lb,442,,31.9,2.6,7.8,0.341,,,,2.6,7.8,0.341,0.341,2.5,3.5,0.702,,,4,2.3,,,,1.9,7.8
584,Corky Calhoun,7-Jun,210lb,542,,20.1,2.2,4.8,0.46,0,0,,2.2,4.8,0.46,0.46,0.9,1.2,0.782,1.1,2.4,3.6,1.1,0.6,0.3,0.7,2.4,5.3
585,Demetrius Calip,1-Jun,165lb,7,0,8.3,0.6,2.6,0.222,0.1,0.7,0.2,0.4,1.9,0.231,0.25,0.3,0.4,0.667,0.1,0.6,0.7,1.7,0.1,0,0.7,1.1,1.6
586,Tom Callahan,1-Jun,180lb,13,,,0.5,2.2,0.207,,,,0.5,2.2,0.207,0.207,0.4,0.9,0.417,,,,0.3,,,,0.7,1.3
587,Rick Calloway,6-Jun,180lb,64,0,10.6,1.2,3,0.391,0,0,0,1.2,3,0.395,0.391,0.9,1.2,0.696,0.4,0.8,1.2,1,0.3,0.1,0.8,1.5,3.2
588,Ernie Calverley,10-May,145lb,165,,,4.6,16,0.291,,,,4.6,16,0.291,0.291,2.6,3.7,0.707,,,,3.5,,,,3.3,11.9
589,Mack Calvin,Jun-00,165lb,755,,28.6,5.3,11.8,0.447,0.1,0.4,0.245,5.2,11.5,0.453,0.451,5.5,6.4,0.863,0.8,1.7,2.5,4.8,1.1,0.1,3,2.5,16.1
590,Dexter Cambridge,7-Jun,224lb,53,13,16.7,2.8,5.9,0.484,0,0.1,0,2.8,5.8,0.49,0.484,1.3,1.9,0.687,1.7,1.5,3.2,1.1,0.5,0.1,1.2,2.4,7
591,Marcus Camby,11-Jun,220lb,973,786,29.5,3.9,8.3,0.466,0,0.1,0.205,3.9,8.2,0.469,0.468,1.8,2.6,0.67,2.7,7.1,9.8,1.9,1,2.4,1.4,2.8,9.5
592,Elden Campbell,11-Jun,215lb,1044,671,24.7,3.9,8.5,0.46,0,0,0.054,3.9,8.4,0.461,0.46,2.6,3.7,0.699,1.8,4.1,5.9,1.1,0.7,1.5,1.3,2.9,10.3
593,Tony Campbell,7-Jun,215lb,690,224,22,4.6,10.1,0.456,0.1,0.4,0.254,4.5,9.7,0.463,0.46,2.3,2.9,0.79,1.3,1.7,3.1,1.5,0.8,0.2,1.6,2.2,11.6
594,Isaiah Canaan,Jun-00,201lb,168,60,21.5,2.9,7.9,0.371,1.8,5.1,0.355,1.1,2.7,0.4,0.486,1.4,1.8,0.823,0.3,1.6,1.9,1.7,0.7,0.1,1.1,1.6,9.1
595,Larry Cannon,4-Jun,195lb,213,,28.8,6,14.7,0.411,0.1,0.6,0.257,5.9,14.1,0.417,0.415,4.5,5.9,0.76,1.7,1.2,2.9,3.6,0.3,0.2,3,2.6,16.6
596,Clint Capela,10-Jun,240lb,111,57,19.2,3.3,5.6,0.593,0,0,0,3.3,5.6,0.594,0.593,0.9,2.5,0.375,2.3,4.1,6.5,0.6,0.6,1.3,0.8,2.4,7.6
597,Derrick Caracter,9-Jun,275lb,41,0,5.2,0.8,1.6,0.485,0,0,,0.8,1.6,0.485,0.485,0.4,0.6,0.739,0.5,0.6,1,0.2,0.1,0.2,0.5,1.1,2
598,Frank Card,7-Jun,195lb,306,,22.6,3.6,7.9,0.461,0,0.1,0.176,3.6,7.9,0.463,0.461,2.2,3.4,0.632,2,3.7,5.6,1.2,,,1.8,2.6,9.5
599,Brian Cardinal,8-Jun,245lb,456,37,14.2,1.5,3.6,0.408,0.5,1.4,0.372,0.9,2.1,0.432,0.482,1.2,1.4,0.861,0.6,1.7,2.3,1,0.6,0.2,0.7,2,4.6
600,Howie Carl,9-May,160lb,31,,12.3,2.2,6.5,0.333,,,,2.2,6.5,0.333,0.333,1.2,1.6,0.706,,,1.3,1.8,,,,1.3,5.5
601,Chet Carlisle,5-Jun,195lb,51,,,2,7.3,0.268,,,,2,7.3,0.268,0.268,1.1,1.8,0.609,,,,0.3,,,,2.7,5
