ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,A.J. English,112,34.4,5.5,12.9,0.423,2.7,5.5,0.489,2.8,7.5,0.374,4.2,5.3,0.792,4.3,4.6,1.3,0.5,2.9,2.3,17.9
2,A.J. Guyton,128,34,5.8,12.8,0.455,3.6,7.5,0.484,2.2,5.3,0.414,2.5,3.2,0.79,3.4,3.1,1,0.4,2.3,0.9,16.4
3,A.J. Hammons,132,24.3,4.6,8.6,0.539,4.6,8.4,0.544,0,0.2,0.261,2.7,4,0.69,7,0.8,0.4,2.6,2.1,2.5,12.1
4,Aaron Gordon,38,31.2,5,10.1,0.495,4.6,8.9,0.513,0.4,1.2,0.356,2,4.7,0.422,8,2,0.9,1,1.4,2.4,12.4
5,Aaron Harrison,79,29.2,4.1,9.9,0.41,2.5,5.3,0.474,1.5,4.6,0.335,2.8,3.5,0.787,2.8,1.6,1.1,0.2,1.3,1.8,12.4
6,Aaron McKie,92,38,6.1,14.5,0.421,4.2,9.2,0.453,1.9,5.3,0.366,3.8,4.8,0.79,6.4,3.3,2.1,0.3,1.9,2.1,17.9
7,Aaron Williams,78,12,1.2,3.6,0.326,0.9,2.4,0.375,0.3,1.2,0.232,0.5,0.8,0.6,2.2,0.4,0.7,0.2,0.9,1.5,3.1
8,Aaron Williams,78,12,1.2,3.6,0.326,0.9,2.4,0.375,0.3,1.2,0.232,0.5,0.8,0.6,2.2,0.4,0.7,0.2,0.9,1.5,3.1
9,Aaron Williams,78,12,1.2,3.6,0.326,0.9,2.4,0.375,0.3,1.2,0.232,0.5,0.8,0.6,2.2,0.4,0.7,0.2,0.9,1.5,3.1
10,Aaron Williams,12,2.3,0.2,0.6,0.286,0.1,0.2,0.5,0.1,0.4,0.2,0.2,0.2,1,0.2,0.4,0.1,0,0.3,0.5,0.6
11,Aaron Williams,12,2.3,0.2,0.6,0.286,0.1,0.2,0.5,0.1,0.4,0.2,0.2,0.2,1,0.2,0.4,0.1,0,0.3,0.5,0.6
12,Aaron Williams,12,2.3,0.2,0.6,0.286,0.1,0.2,0.5,0.1,0.4,0.2,0.2,0.2,1,0.2,0.4,0.1,0,0.3,0.5,0.6
13,Aaron Williams,11,2.3,0.5,0.5,0.833,0.3,0.3,1,0.2,0.3,0.667,0.6,0.6,1,0.4,0,0,0.1,0.3,0,1.7
14,Aaron Williams,11,2.3,0.5,0.5,0.833,0.3,0.3,1,0.2,0.3,0.667,0.6,0.6,1,0.4,0,0,0.1,0.3,0,1.7
15,Aaron Williams,11,2.3,0.5,0.5,0.833,0.3,0.3,1,0.2,0.3,0.667,0.6,0.6,1,0.4,0,0,0.1,0.3,0,1.7
16,Acie Earl,116,27.6,5.5,10.9,0.508,5,10,0.497,0,0.1,0.333,4.3,6.3,0.68,7,1.2,1,3.1,2.9,2.4,15.3
17,Adam Keefe,125,32,6.6,11.1,0.6,8.4,14.3,0.586,0.1,0.2,0.467,5.2,7.1,0.736,9,1.7,1.1,0.4,2.5,2.1,18.6
18,Adonal Foyle,87,36.5,8.2,15,0.547,8.2,14.8,0.551,0,0.1,0.1,4,8.2,0.491,12.7,1.5,0.7,5.7,3.8,2.4,20.4
19,Adonis Jordan,137,26.4,3.3,7.2,0.463,2,4,0.506,1.3,3.2,0.41,2.1,2.7,0.755,2.5,4.1,1.3,0,1.9,1.5,10
20,Adonis Thomas,55,27.5,4.1,9.5,0.426,3.3,7.2,0.458,0.7,2.3,0.325,1.9,2.5,0.745,4,1.5,0.6,0.7,1.5,1.4,10.7
21,Adreian Payne,138,20,3.2,6.2,0.526,2.8,5.1,0.551,0.4,1.1,0.409,2,2.7,0.755,5.3,0.6,0.6,1,1.4,2.2,8.9
22,Adrian Griffin,123,26.7,4.4,8.8,0.506,4.3,8.2,0.522,0.2,0.6,0.278,2.4,3.7,0.654,6.5,2.2,1.7,0.5,1.9,2.2,11.5
23,Al-Farouq Aminu,62,31.3,5,10.6,0.476,4.6,8.9,0.522,0.4,1.7,0.238,3.9,5.7,0.687,9.4,1.4,1.2,1.3,2.9,1.5,14.4
24,Alan Henderson,124,29,6.2,11.4,0.54,6.1,11.2,0.546,0,0.2,0.231,3.6,5.6,0.646,8.8,1.1,1.2,1.7,1.8,2.8,16
25,Alec Burks,68,30.9,6.2,12.6,0.495,5.5,10.4,0.533,0.7,2.2,0.313,5.9,7.3,0.804,5.8,2.4,1.1,0.4,2.3,2.4,19
26,Alec Kessler,123,28.1,5,10,0.499,6.6,13.3,0.492,0.3,0.6,0.417,4.5,5.9,0.763,7.3,0.9,0.6,0.4,2.2,2.7,14.5
27,Alex Len,60,24.5,3.8,7,0.538,3.7,6.8,0.548,0,0.2,0.111,2.2,3.3,0.663,7,0.8,0.2,2.1,1.6,2.6,9.7
28,Allan Houston,128,36,7,15.3,0.46,4.3,8.9,0.486,2.7,6.4,0.424,5.1,6,0.849,4,3.6,1,0.4,3.2,2.1,21.9
29,Allen Crabbe,98,34.7,5.4,12.2,0.446,3.3,6.6,0.5,2.1,5.6,0.382,2.7,3.3,0.819,5.7,2.2,0.9,0.6,1.9,1.7,15.7
30,Allen Iverson,67,32.5,7.7,17.5,0.44,5.9,11.7,0.503,1.8,5.8,0.314,5.8,8.5,0.683,3.6,4.6,3.2,0.3,4.1,2.5,23
31,Alonzo Mourning,120,30.3,5.1,9,0.566,5.1,8.8,0.572,0.1,0.2,0.261,6.4,8.5,0.754,8.6,1.2,0.5,3.8,2.5,3.4,16.7
32,Alphonso Ford,109,32.8,10.3,22.7,0.454,7.2,13.6,0.531,3.1,9,0.338,5.4,7.1,0.763,5.4,3,2.1,0.3,2.8,2.4,29
33,Alvin Sims,127,22.3,3.1,6.4,0.48,2.6,4.8,0.534,0.5,1.5,0.311,1.7,2.8,0.623,3.9,1.9,1.7,0.4,2.1,2.6,8.3
34,Alvin Williams,131,30,3.7,8.4,0.443,2.7,5.5,0.493,1,2.9,0.35,2.4,3.4,0.726,3.7,4.2,1.5,0.3,2.3,2.6,10.9
35,Amal McCaskill,111,19.8,3,5.4,0.545,3.3,6,0.554,0,0.1,0.4,1.8,2.8,0.644,6.3,0.8,0.4,1.6,1.7,2.6,7.8
36,Amir Johnson,120,33.1,3.4,8.8,0.389,2.2,5.1,0.426,1.3,3.7,0.338,2.2,3.2,0.668,4,5,1.6,0.1,3.3,0.6,10.2
37,Andrae Patterson,121,24.4,4.3,8.9,0.479,3.9,7.7,0.504,0.4,1.2,0.313,2.4,3.1,0.755,5.7,1.3,0.9,1,2.2,2.3,11.3
38,Andre Drummond,34,28.4,4.6,8.6,0.538,4.6,8.5,0.541,0,0.1,0,0.8,2.6,0.295,7.6,0.4,0.8,2.7,1.5,2.2,10
39,Andre Miller,134,29.4,4.4,8.6,0.513,4,7.1,0.558,0.4,1.5,0.294,2.9,4.2,0.676,4.8,5.4,1.9,0.5,2.8,1.4,12.1
40,Andre Roberson,105,28.3,3.6,7.1,0.516,3.2,5.7,0.555,0.5,1.4,0.35,1.9,3.2,0.582,10,1.1,1.6,1.4,1.7,2.6,9.6
41,Andrew DeClercq,128,27.4,3.9,7.4,0.531,3.9,7.3,0.534,0.1,0.3,0.333,2.3,3.5,0.663,7.5,1.1,1.1,1.4,2.4,3.2,10.2
42,Andrew Goudelock,140,35.4,6.8,14.9,0.457,4,8.1,0.494,2.8,6.8,0.413,1.9,2.2,0.838,3.3,3,0.9,0.3,2.2,0.9,18.4
43,Andrew Harrison,79,28.6,2.8,7.6,0.372,1.9,5.2,0.374,0.9,2.4,0.367,3.6,4.6,0.777,2.7,3.8,0.8,0.2,2.2,2.4,10.1
44,Andrew Nicholson,123,31.4,6.6,11.4,0.575,6.3,10.8,0.586,0.2,0.6,0.377,3.7,5.1,0.72,7.2,0.7,0.5,2,2.4,2.2,17.1
45,Andrew Wiggins,35,32.8,5.4,12.1,0.448,4.2,8.5,0.493,1.2,3.6,0.341,5,6.5,0.775,5.9,1.5,1.2,1,2.3,2.7,17.1
46,Andy Rautins,127,32.5,2.8,7.1,0.396,0.6,1.2,0.506,2.2,5.9,0.374,0.9,1.2,0.763,2.6,2.7,1.4,0.2,2.4,0.6,8.8
47,Anfernee Hardaway,66,36.7,6.9,15.2,0.456,4.8,9,0.531,2.2,6.2,0.346,4,5.5,0.717,7.7,5.9,2.5,1.3,3.5,2.7,20
48,Ansu Sesay,110,27.6,4.4,10.4,0.428,3.9,8.3,0.468,0.6,2.1,0.268,3.6,4.9,0.724,6.4,2.1,0.9,0.9,2.4,2,13
49,Antawn Jamison,104,33.6,7.6,13.1,0.577,7.5,12.9,0.583,0.1,0.3,0.296,3.8,6.1,0.617,9.9,0.9,0.9,0.8,1.8,1.6,19
50,Anthony Bennett,35,27.1,5.8,10.8,0.533,4.7,8.1,0.587,1,2.7,0.375,3.5,5.1,0.701,8.1,1,0.7,1.2,1.9,2.3,16.1
51,Anthony Bonner,133,32.5,5.8,10.8,0.539,7.6,15,0.504,0.1,0.4,0.333,3.2,5,0.634,10.7,2,1.4,0.5,2.4,2.4,14.8
52,Anthony Bonner,133,32.5,5.8,10.8,0.539,7.6,15,0.504,0.1,0.4,0.333,3.2,5,0.634,10.7,2,1.4,0.5,2.4,2.4,14.8
53,Anthony Bonner,9,13.6,1.7,3.1,0.536,0.9,1.3,0.667,0.8,1.8,0.438,1.1,1.2,0.909,1.3,0.3,0.2,0,0.8,1.4,5.2
54,Anthony Bonner,9,13.6,1.7,3.1,0.536,0.9,1.3,0.667,0.8,1.8,0.438,1.1,1.2,0.909,1.3,0.3,0.2,0,0.8,1.4,5.2
55,Anthony Brown,144,29.2,3.6,8.4,0.428,2.1,4.7,0.448,1.5,3.8,0.403,2.1,2.8,0.751,4.8,1.6,0.7,0.2,1.6,1.8,10.8
56,Anthony Brown,144,29.2,3.6,8.4,0.428,2.1,4.7,0.448,1.5,3.8,0.403,2.1,2.8,0.751,4.8,1.6,0.7,0.2,1.6,1.8,10.8
57,Anthony Brown,29,11.2,0.8,1.8,0.415,0.6,1.4,0.39,0.2,0.4,0.5,0.8,1.2,0.667,1.3,0.7,0.5,0,0.7,1.1,2.6
58,Anthony Brown,29,11.2,0.8,1.8,0.415,0.6,1.4,0.39,0.2,0.4,0.5,0.8,1.2,0.667,1.3,0.7,0.5,0,0.7,1.1,2.6
59,Anthony Carter,58,34.7,6.9,14.6,0.474,5.8,11.2,0.519,1.1,3.4,0.33,3.4,4.8,0.714,4.5,6.9,2.4,0.4,4.7,1.5,18.4
60,Anthony Cook,133,30.4,4.7,8.2,0.575,5.3,8.5,0.62,0,0,0,2.5,3.9,0.645,6.5,0.6,0.7,2.1,1.4,1.9,12
61,Anthony Davis,40,32,5.3,8.4,0.623,5.2,7.9,0.653,0.1,0.5,0.15,3.6,5.1,0.709,10.4,1.3,1.4,4.7,1,2,14.2
62,Anthony Goldwire,57,36.9,5,11.9,0.417,3.9,8.2,0.472,1.1,3.7,0.294,4.6,5.8,0.796,3.4,5.9,2.8,0.1,2.7,2.4,15.6
63,Anthony Johnson,61,34.9,5.7,11.5,0.497,4.7,8.9,0.522,1,2.6,0.41,6,6.8,0.873,3,3,0.7,0.1,2.9,0.9,18.4
64,Anthony Johnson,61,34.9,5.7,11.5,0.497,4.7,8.9,0.522,1,2.6,0.41,6,6.8,0.873,3,3,0.7,0.1,2.9,0.9,18.4
65,Anthony Johnson,61,34.9,5.7,11.5,0.497,4.7,8.9,0.522,1,2.6,0.41,6,6.8,0.873,3,3,0.7,0.1,2.9,0.9,18.4
66,Anthony Johnson,61,34.9,5.7,11.5,0.497,4.7,8.9,0.522,1,2.6,0.41,6,6.8,0.873,3,3,0.7,0.1,2.9,0.9,18.4
67,Anthony Johnson,61,34.9,5.7,11.5,0.497,4.7,8.9,0.522,1,2.6,0.41,6,6.8,0.873,3,3,0.7,0.1,2.9,0.9,18.4
68,Anthony Johnson,61,34.9,5.7,11.5,0.497,4.7,8.9,0.522,1,2.6,0.41,6,6.8,0.873,3,3,0.7,0.1,2.9,0.9,18.4
69,Anthony Johnson,116,30.6,4.4,8.6,0.512,4.4,8.6,0.515,0,0,0,2.3,3.8,0.593,7.4,0.6,1,1.7,1.7,0.9,11.1
70,Anthony Johnson,116,30.6,4.4,8.6,0.512,4.4,8.6,0.515,0,0,0,2.3,3.8,0.593,7.4,0.6,1,1.7,1.7,0.9,11.1
71,Anthony Johnson,116,30.6,4.4,8.6,0.512,4.4,8.6,0.515,0,0,0,2.3,3.8,0.593,7.4,0.6,1,1.7,1.7,0.9,11.1
72,Anthony Johnson,116,30.6,4.4,8.6,0.512,4.4,8.6,0.515,0,0,0,2.3,3.8,0.593,7.4,0.6,1,1.7,1.7,0.9,11.1
73,Anthony Johnson,116,30.6,4.4,8.6,0.512,4.4,8.6,0.515,0,0,0,2.3,3.8,0.593,7.4,0.6,1,1.7,1.7,0.9,11.1
74,Anthony Johnson,116,30.6,4.4,8.6,0.512,4.4,8.6,0.515,0,0,0,2.3,3.8,0.593,7.4,0.6,1,1.7,1.7,0.9,11.1
75,Anthony Johnson,7,2.9,0.1,1.3,0.111,0.1,0.4,0.333,0,0.9,0,0.3,0.6,0.5,0.4,0.4,0,0,0.1,0.3,0.6
76,Anthony Johnson,7,2.9,0.1,1.3,0.111,0.1,0.4,0.333,0,0.9,0,0.3,0.6,0.5,0.4,0.4,0,0,0.1,0.3,0.6
77,Anthony Johnson,7,2.9,0.1,1.3,0.111,0.1,0.4,0.333,0,0.9,0,0.3,0.6,0.5,0.4,0.4,0,0,0.1,0.3,0.6
78,Anthony Johnson,7,2.9,0.1,1.3,0.111,0.1,0.4,0.333,0,0.9,0,0.3,0.6,0.5,0.4,0.4,0,0,0.1,0.3,0.6
79,Anthony Johnson,7,2.9,0.1,1.3,0.111,0.1,0.4,0.333,0,0.9,0,0.3,0.6,0.5,0.4,0.4,0,0,0.1,0.3,0.6
80,Anthony Johnson,7,2.9,0.1,1.3,0.111,0.1,0.4,0.333,0,0.9,0,0.3,0.6,0.5,0.4,0.4,0,0,0.1,0.3,0.6
81,Anthony Johnson,78,16.4,2.7,5.9,0.461,1.5,3,0.502,1.2,2.9,0.419,1.7,2,0.829,2.3,0.5,0.4,0.1,1.1,1.6,8.4
82,Anthony Johnson,78,16.4,2.7,5.9,0.461,1.5,3,0.502,1.2,2.9,0.419,1.7,2,0.829,2.3,0.5,0.4,0.1,1.1,1.6,8.4
83,Anthony Johnson,78,16.4,2.7,5.9,0.461,1.5,3,0.502,1.2,2.9,0.419,1.7,2,0.829,2.3,0.5,0.4,0.1,1.1,1.6,8.4
84,Anthony Johnson,78,16.4,2.7,5.9,0.461,1.5,3,0.502,1.2,2.9,0.419,1.7,2,0.829,2.3,0.5,0.4,0.1,1.1,1.6,8.4
85,Anthony Johnson,78,16.4,2.7,5.9,0.461,1.5,3,0.502,1.2,2.9,0.419,1.7,2,0.829,2.3,0.5,0.4,0.1,1.1,1.6,8.4
86,Anthony Johnson,78,16.4,2.7,5.9,0.461,1.5,3,0.502,1.2,2.9,0.419,1.7,2,0.829,2.3,0.5,0.4,0.1,1.1,1.6,8.4
87,Anthony Johnson,68,5.9,0.5,1.1,0.427,0.4,0.7,0.48,0.1,0.4,0.32,0.3,0.4,0.63,0.8,0.3,0.1,0,0.3,0.7,1.3
88,Anthony Johnson,68,5.9,0.5,1.1,0.427,0.4,0.7,0.48,0.1,0.4,0.32,0.3,0.4,0.63,0.8,0.3,0.1,0,0.3,0.7,1.3
89,Anthony Johnson,68,5.9,0.5,1.1,0.427,0.4,0.7,0.48,0.1,0.4,0.32,0.3,0.4,0.63,0.8,0.3,0.1,0,0.3,0.7,1.3
90,Anthony Johnson,68,5.9,0.5,1.1,0.427,0.4,0.7,0.48,0.1,0.4,0.32,0.3,0.4,0.63,0.8,0.3,0.1,0,0.3,0.7,1.3
91,Anthony Johnson,68,5.9,0.5,1.1,0.427,0.4,0.7,0.48,0.1,0.4,0.32,0.3,0.4,0.63,0.8,0.3,0.1,0,0.3,0.7,1.3
92,Anthony Johnson,68,5.9,0.5,1.1,0.427,0.4,0.7,0.48,0.1,0.4,0.32,0.3,0.4,0.63,0.8,0.3,0.1,0,0.3,0.7,1.3
93,Anthony Johnson,95,18.5,2.5,6.2,0.4,1.9,4.3,0.44,0.6,1.9,0.31,1.2,1.9,0.622,2.4,1.1,0.3,0,1,1.5,6.8
94,Anthony Johnson,95,18.5,2.5,6.2,0.4,1.9,4.3,0.44,0.6,1.9,0.31,1.2,1.9,0.622,2.4,1.1,0.3,0,1,1.5,6.8
95,Anthony Johnson,95,18.5,2.5,6.2,0.4,1.9,4.3,0.44,0.6,1.9,0.31,1.2,1.9,0.622,2.4,1.1,0.3,0,1,1.5,6.8
96,Anthony Johnson,95,18.5,2.5,6.2,0.4,1.9,4.3,0.44,0.6,1.9,0.31,1.2,1.9,0.622,2.4,1.1,0.3,0,1,1.5,6.8
97,Anthony Johnson,95,18.5,2.5,6.2,0.4,1.9,4.3,0.44,0.6,1.9,0.31,1.2,1.9,0.622,2.4,1.1,0.3,0,1,1.5,6.8
98,Anthony Johnson,95,18.5,2.5,6.2,0.4,1.9,4.3,0.44,0.6,1.9,0.31,1.2,1.9,0.622,2.4,1.1,0.3,0,1,1.5,6.8
99,Anthony Jones,129,23.3,2.1,4.7,0.453,1.4,2.7,0.53,0.7,1.9,0.344,0.8,1.2,0.703,3.7,0.7,0.5,0.3,1,0.7,5.7
100,Anthony Mason,111,33.6,7.1,15.3,0.461,7.6,16.9,0.453,1,2.4,0.438,4.1,5.7,0.713,8.1,2.4,1.3,0.4,3,2.5,18.7
101,Anthony Mason,111,33.6,7.1,15.3,0.461,7.6,16.9,0.453,1,2.4,0.438,4.1,5.7,0.713,8.1,2.4,1.3,0.4,3,2.5,18.7
102,Anthony Mason,99,24.7,4,9.7,0.409,2.8,6,0.462,1.2,3.7,0.325,1.5,2.1,0.729,5.2,1.9,0.8,0.6,2,0.5,10.7
103,Anthony Mason,99,24.7,4,9.7,0.409,2.8,6,0.462,1.2,3.7,0.325,1.5,2.1,0.729,5.2,1.9,0.8,0.6,2,0.5,10.7
104,Anthony Miller,89,21.8,3.6,5.9,0.609,4,6.3,0.639,0,0,0.5,1.7,3,0.583,6.5,0.7,0.5,0.7,1.7,2.3,9
105,Anthony Parker,112,32.2,4.7,10.5,0.447,2.9,5.9,0.5,1.7,4.6,0.379,3.9,5.2,0.75,5.7,3.2,1.4,0.7,2.5,2,15
106,Anthony Peeler,117,30.6,5.7,12.2,0.466,4.7,9.7,0.485,1,2.5,0.393,4.5,5.7,0.779,5.1,4.2,1.7,0.3,3.1,2.4,16.8
107,Anthony Roberson,29,21.4,1.7,3.2,0.532,1.7,3,0.558,0.1,0.3,0.25,1.1,2.2,0.516,5,0.7,0.7,0.6,0.8,2.7,4.7
108,Anthony Taylor,32,11.2,0.9,2.8,0.319,0.8,2.4,0.338,0.1,0.4,0.214,0.9,1.4,0.609,0.9,0.8,0.3,0,1.6,0.5,2.8
109,Anthony Tucker,25,31.9,3.8,9.4,0.398,1,2,0.51,2.7,7.4,0.368,0.8,1.3,0.625,3.2,1.6,0.5,0,1.8,0.8,11
110,Antoine Carr,112,30,6.8,12.2,0.557,8.7,15.2,0.575,0.1,0.2,0.6,3.4,4.6,0.746,6.9,2.2,0.9,1.9,2.2,3.4,17.1
111,Antoine Walker,69,21,4.7,10.4,0.449,4.3,8.9,0.482,0.4,1.5,0.252,1.9,2.9,0.66,6.5,2.2,1.3,0.5,2.1,2.1,11.7
112,Antonio Daniels,111,33.3,5.9,11.4,0.515,5.1,9.5,0.54,0.8,1.9,0.396,3.6,4.8,0.758,2.9,5.2,1.5,0.3,2.8,1.5,16.1
113,Antonio Davis,122,25.8,3.3,6.1,0.54,4.4,8.2,0.536,0,0,0,2.6,4.3,0.6,6.1,0.5,0.4,0.9,1.4,2.2,9.2
114,Antonio Harvey,63,20.4,3,6.5,0.46,3,6.4,0.465,0,0.1,0,1.1,2.1,0.496,4.8,0.7,0.5,2.1,1.3,3,7.1
115,Antonio Lang,135,22.4,2.7,4.8,0.57,3.6,6.3,0.568,0,0,0,2.1,3.1,0.659,4.3,0.7,0.5,0.8,1.5,2.3,7.5
116,Antonio McDyess,59,25.1,5.4,10.1,0.533,5.4,10.1,0.534,0,0,0,2,3.3,0.625,9.3,0.5,1,1.8,2.2,3.1,12.8
117,Archie Goodwin,33,31.8,4.8,10.8,0.44,4.2,8.9,0.478,0.5,1.9,0.266,4.1,6.4,0.637,4.6,2.7,1.1,0.5,3.1,2.9,14.1
118,Armon Johnson,101,34.5,5.4,11.6,0.467,4.7,9.2,0.514,0.7,2.4,0.289,2.8,3.7,0.75,3.7,4.4,0.8,0.2,2.7,0.6,14.3
119,Ashraf Amaya,128,32.2,5.3,9.4,0.568,6.1,10.6,0.579,0.1,0.5,0.239,3.8,5.8,0.659,8.9,0.5,1.1,1.2,1.9,3.3,14.6
120,Austin Croshere,121,23.6,4.1,9.3,0.44,2.9,5.7,0.502,1.2,3.6,0.34,3.2,3.8,0.843,5.3,1,0.9,0.6,1.9,2,12.6
121,Austin Rivers,34,33.2,5.1,11.8,0.433,3.4,7.1,0.477,1.7,4.7,0.365,3.6,5.4,0.658,3.4,2.1,1,0,2.3,2.2,15.5
122,Avery Bradley,34,29.5,4.7,10.8,0.432,3.4,7.5,0.457,1.2,3.3,0.375,1.1,1.9,0.545,2.9,2.1,1.3,0.5,1.5,2.4,11.6
123,Avery Johnson,20,7.5,1.1,2.6,0.423,0.7,1.5,0.483,0.4,1.2,0.348,0.4,0.6,0.583,0.7,0.6,0.2,0.1,0.5,0.9,3
124,Avery Johnson,20,7.5,1.1,2.6,0.423,0.7,1.5,0.483,0.4,1.2,0.348,0.4,0.6,0.583,0.7,0.6,0.2,0.1,0.5,0.9,3
125,Avery Johnson,126,18.2,1.1,2.8,0.399,0.6,1.4,0.454,0.5,1.4,0.346,0.6,0.8,0.748,2,1,0.8,0.2,0.8,1.6,3.4
126,Avery Johnson,126,18.2,1.1,2.8,0.399,0.6,1.4,0.454,0.5,1.4,0.346,0.6,0.8,0.748,2,1,0.8,0.2,0.8,1.6,3.4
127,B.J. Armstrong,130,25.1,4.5,9.1,0.492,4.1,8,0.511,1.3,3,0.443,3.1,3.7,0.831,2,4,1.2,0.1,2,1.2,13.1
128,B.J. Tyler,93,30.7,5.7,13,0.435,3.3,6.5,0.509,2.4,6.5,0.361,3,4.1,0.741,2.8,5.6,2.4,0.2,3.4,1.8,16.7
129,Baron Davis,59,30.7,4.9,9.7,0.503,3.9,6.6,0.583,1,3.1,0.328,2.9,4.5,0.631,3.8,4.4,2.5,0.4,3.3,1.6,13.6
130,Ben Handlogten,109,24,4.1,7.7,0.534,4.1,7.7,0.533,0,0,1,2.4,3.8,0.641,7.6,1.1,1.3,1.1,2,2.8,10.7
131,Ben Hansbrough,134,35.4,3.7,8.2,0.451,1.7,3.4,0.517,2,4.8,0.405,2.7,3.4,0.782,3.6,3.6,1.1,0.1,1.9,1.3,12
132,Ben McLemore,37,32.2,5.4,10.8,0.495,3.4,6.1,0.553,2,4.7,0.42,3.2,3.7,0.87,5.2,2,1,0.7,2.1,1.9,15.9
133,Ben Uzoh,141,34.3,4.7,10.3,0.454,3.4,6.8,0.508,1.2,3.5,0.349,3.3,4.2,0.782,5,3,1.1,0.7,2.4,0.4,13.8
134,Bernard Thompson,134,30.1,4.7,10.9,0.434,3.1,6.5,0.482,1.6,4.5,0.364,2.6,3.6,0.706,4.6,1.8,2,0.1,2.1,2.3,13.7
135,Bill Curley,126,32.7,5.9,10.4,0.565,5.9,10.4,0.567,0,0,0,4.9,6.3,0.78,7.9,1.3,1,0.7,2.4,3.2,16.7
136,Bill Edwards,50,18.4,2.1,5.6,0.373,1.4,3.4,0.407,0.7,2.1,0.318,0.9,1.1,0.855,3.6,1.2,0.4,0.4,1.7,2,5.8
137,Billy Donovan,16,2.8,0,0.6,0,0,0.1,0,0,0.5,0,0.3,0.3,1,0.3,0.2,0.1,0,0.2,0.4,0.3
138,Billy Owens,103,35.1,6.9,13.6,0.505,6.4,12.1,0.527,0.5,1.5,0.325,3.7,5.4,0.682,8.8,3.7,2.1,0.9,2.6,2.9,17.9
139,Bimbo Coles,115,33.2,7.6,17.6,0.429,6.3,13.6,0.46,1.3,4,0.324,5.2,6.9,0.748,3.9,4.8,1.9,0.2,3,2.9,21.6
140,Bison Dele,96,24.8,5,8.4,0.594,4.1,7.3,0.556,0,0,0,2.4,3.5,0.691,6.5,0.6,0.7,1.2,2,2.8,12.4
141,Blue Edwards,57,32.7,8.2,14.7,0.555,7.7,13.8,0.561,0.5,1,0.473,3.8,5.1,0.75,6.3,2.5,1.5,0.5,2.9,3.6,20.6
142,Bo Kimble,104,27.4,8.4,17.3,0.484,7,13.3,0.528,2.6,6.4,0.407,3.9,4.8,0.822,4.9,1.7,1.8,0.4,1.9,2.8,22.6
143,Bob Sura,119,33.6,6.1,13.7,0.45,4.3,8.3,0.524,1.8,5.4,0.334,3.8,5.8,0.652,6,3.7,1.8,0.3,3.4,2.5,17.9
144,Bobby Brown,117,22.2,2.9,7.6,0.38,1.9,4.3,0.435,1,3.3,0.307,1.1,1.8,0.649,4.9,0.8,0.5,0.5,1.2,1.3,7.9
145,Bobby Hurley,140,34.3,3.7,8.9,0.41,1.8,4.3,0.415,1.9,4.7,0.405,3.2,4.1,0.776,2.2,7.7,1.5,0,3.8,2.3,12.4
146,Bobby Jackson,60,29.7,5.1,11.9,0.427,4.1,8.7,0.471,1,3.2,0.307,3.3,4.1,0.786,5.5,3.5,1.8,0.3,2.3,2.8,14.4
147,Bobby Jones,54,11.7,1.4,4.3,0.33,0.5,1.5,0.354,0.9,2.7,0.318,0.7,1.1,0.617,1.4,0.3,0.5,0.2,0.6,1.6,4.4
148,Bobby Jones,54,11.7,1.4,4.3,0.33,0.5,1.5,0.354,0.9,2.7,0.318,0.7,1.1,0.617,1.4,0.3,0.5,0.2,0.6,1.6,4.4
149,Bobby Phills,113,26.6,6.1,14.6,0.414,3.6,7.7,0.465,2.5,7,0.358,2.4,3.4,0.71,4,1.8,1.9,0.2,1.6,0.6,17
150,Bobby Portis,70,28.5,5.9,11.2,0.526,5.5,10.3,0.54,0.3,0.9,0.365,2.9,3.9,0.737,7.9,1.3,1.1,1.5,1.4,2,15
151,Bobby Simmons,93,31.6,4.3,10.1,0.428,3,6.2,0.49,1.3,3.9,0.331,3.6,4.6,0.783,7.5,2.2,1.3,0.2,2.5,2.9,13.6
152,Bonzi Wells,116,31,7.9,16.4,0.48,6.6,12.6,0.526,1.2,3.8,0.325,4.5,6.5,0.681,7.3,3.3,3,0.8,3.6,2.1,21.4
153,Brad Daugherty,135,29.4,5.6,9.1,0.62,3.1,5.6,0.561,0,0,0,2.9,4.1,0.7,7.4,1.6,0.7,1.1,2.1,3,14.2
154,Brad Lohaus,115,20.8,2.4,5.2,0.467,2.4,4.2,0.569,0.5,1.3,0.356,1.2,1.8,0.695,4.6,1,0.4,0.6,1.4,1.6,6.3
155,Brad Miller,128,23.2,3.8,6.7,0.572,3.8,6.5,0.583,0.1,0.2,0.259,4.2,5.6,0.754,6.7,2,1.1,1.3,1.9,2,12
156,Brad Sellers,118,35.5,6.6,13.3,0.495,6.8,13.3,0.509,0,0,0,3.5,4.4,0.789,9.8,1.3,1,2.6,2.5,3.1,16.6
157,Bradley Beal,37,34.2,4.7,10.6,0.445,3,5.6,0.541,1.7,5,0.339,3.6,4.7,0.769,6.7,2.2,1.4,0.8,2.1,2.1,14.8
